fund,cluster,cluster_name
AQR Capital,0,Algorithmic Scale
Balyasny,2,Pod-Shop Linear
Bridgewater,0,Algorithmic Scale
Capula Investment,1,Hybrid Platform
Citadel,1,Hybrid Platform
D.E. Shaw,0,Algorithmic Scale
ExodusPoint,2,Pod-Shop Linear
Man Group,0,Algorithmic Scale
Millennium Management,1,Hybrid Platform
Point72,1,Hybrid Platform
Renaissance Technologies,0,Algorithmic Scale
SAC Capital,1,Hybrid Platform
Schonfeld Strategic,2,Pod-Shop Linear
Two Sigma,1,Hybrid Platform
Verition Fund,2,Pod-Shop Linear
